Strain Amplitude (%),Material,Heat Treatment,Cycle,Relative Cycle,eIP (%),sigmayT (MPa),sigma dot _T (GPa),Wp (kJ/m3),We+ (kJ/m3),sigmaMT (MPa),sigmaMC (MPa)
1,0,300,5,0.02617801,0.615168,-104.0022,16.30488756,0.255979374,0.070402648,283.96836,-253.37124
1,0,300,7,0.036649215,0.63786,-92.26548,15.97295965,0.264219492,0.073042059,288.86652,-256.95972
1,0,300,9,0.047120419,0.650587,-96.63408,15.41318268,0.276705554,0.073958458,292.80096,-259.14888
1,0,300,13,0.068062827,0.348783,-87.96096,14.96542998,0.291197914,0.077086561,297.4194,-262.70676
1,0,300,17,0.089005236,0.273228,-90.45144,14.50877941,0.301298409,0.078404451,299.98476,-264.67164
1,0,300,23,0.120418848,0.453968,-93.0528,13.81431755,0.30950895,0.078502366,301.53492,-266.82372
1,0,300,32,0.167539267,0.466886,-82.83744,14.09050924,0.319115601,0.079316512,302.9004,-268.95492
1,0,300,43,0.22513089,0.604849,-82.34928,13.57192817,0.316920996,0.080483442,302.47812,-270.68544
1,0,300,58,0.303664921,0.514636,-81.504,13.71305614,0.31720812,0.079712186,302.93928,-272.88972
1,0,300,78,0.408376963,0.555472,-80.21268,13.74589253,0.316787166,0.081253999,304.87968,-273.8322
1,0,300,95,0.497382199,0.59938,-78.1668,13.89831652,0.313977604,0.081376925,305.05428,-275.05044
1,0,300,105,0.54973822,0.509477,-76.90572,14.15525514,0.313225599,0.08184737,305.53992,-275.81328
1,0,300,141,0.738219895,0.551567,-75.44052,14.30940062,0.309937081,0.083598588,307.94652,-278.22744
1,0,300,191,1,0.511184,-66.62952,15.5665409,0.276814322,0.081095149,286.42176,-275.95764
0.8,0,300,3,0.006849315,0.381575,-9.227053187,38.97575718,0.054626616,0.046580951,231.7115894,-199.9382651
0.8,0,300,4,0.00913242,0.396457,-13.13968918,35.76949855,0.059799256,0.048565975,235.6495238,-204.6469926
0.8,0,300,6,0.01369863,0.437622,-35.8501665,31.56392791,0.07858715,0.051720522,242.949092,-210.6436047
0.8,0,300,8,0.01826484,0.436225,-41.06231366,28.96795771,0.095031416,0.055067908,248.4766973,-214.3730517
0.8,0,300,12,0.02739726,0.489478,-40.07836834,25.53313434,0.115271206,0.058685113,257.0318544,-220.5896341
0.8,0,300,17,0.038812785,0.533366,-49.66734977,22.48587308,0.136816952,0.063432653,265.2848663,-226.0641308
0.8,0,300,25,0.057077626,0.574274,-46.28023819,19.40310431,0.157116486,0.067042017,273.0297576,-231.9484253
0.8,0,300,36,0.082191781,0.600767,-51.1002067,18.61407866,0.169534798,0.068939266,277.04269,-236.1938874
0.8,0,300,51,0.116438356,0.61595,-53.80480041,17.65923419,0.17572039,0.069902682,279.4591334,-238.8166651
0.8,0,300,73,0.166666667,0.290079,-54.63121401,17.35492356,0.176644979,0.070757254,281.4273829,-240.8405352
0.8,0,300,105,0.239726027,0.286679,-53.44093441,17.54590137,0.176206733,0.071662595,283.8553093,-242.9178727
0.8,0,300,150,0.342465753,0.287342,-51.33560719,17.93082169,0.175018499,0.073188174,286.3532099,-245.1947265
0.8,0,300,214,0.488584475,0.248642,-48.48388818,18.3433119,0.173836831,0.074088977,290.36686,-247.8573357
0.8,0,300,219,0.5,0.32301,-48.56857494,18.52559654,0.171493082,0.074383184,290.1935392,-247.0671651
0.8,0,300,306,0.698630137,0.244107,-45.87582302,18.93696435,0.170009896,0.077029247,293.7378236,-249.9540507
0.8,0,300,438,1,0.052681,-58.67823641,18.68786522,0.165719277,0.078964807,296.3121576,-251.0320127
0.4,0,400,3,0.000366211,0.166445,-143.8122903,64.65583339,0.001582831,0.012652979,125.8465584,-147.4859596
0.4,0,400,5,0.000610352,0.198402,-154.7917645,61.94072428,0.003535835,0.015132241,137.9313512,-154.7955062
0.4,0,400,9,0.001098633,0.227289,-51.46467145,57.26425161,0.006465649,0.019671827,157.5617964,-161.2175052
0.4,0,400,16,0.001953125,0.274491,-43.06814077,50.25800859,0.011053882,0.026685418,180.2788272,-167.787304
0.4,0,400,28,0.003417969,0.315614,-65.36085491,43.86360647,0.016159659,0.033283325,198.4746779,-174.0461618
0.4,0,400,50,0.006103516,0.321412,-46.10308998,36.58285133,0.019651829,0.037079858,211.0028705,-179.7572245
0.4,0,400,89,0.010864258,0.343075,-47.37154983,33.55367792,0.020874791,0.037985942,213.5278165,-181.3231551
0.4,0,400,156,0.019042969,0.254617,-38.07662029,33.56181364,0.021444827,0.039006918,216.8347924,-183.570836
0.4,0,400,275,0.033569336,0.343437,-37.34675074,35.31653116,0.02060103,0.040315869,219.8188535,-188.1369173
0.4,0,400,485,0.059204102,0.342822,-25.5184936,37.1297606,0.019823567,0.040482916,222.9544563,-192.4642736
0.4,0,400,854,0.104248047,0.342379,-22.32208703,39.21548036,0.018808574,0.041697892,227.5493492,-192.9832571
0.4,0,400,1503,0.18347168,0.307198,-30.77369657,39.68459696,0.017988654,0.042964752,230.9479985,-197.195367
0.4,0,400,2645,0.322875977,0.348635,-17.33812494,40.06226708,0.017342685,0.04396387,233.7116694,-199.9496835
0.4,0,400,4096,0.5,0.346041,-32.74927601,40.4771676,0.016747965,0.044691101,235.8373686,-203.5189574
0.4,0,400,4655,0.568237305,0.327964,-34.95433818,40.32281879,0.016733696,0.044973826,236.4596249,-203.2151257
